Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
ACSF1,0.73,0.03033150177620623,0.722808,0.03217932280207276
Adiac,0.6577999999999999,0.020290788057638363,0.6290340000000001,0.01827774668825452
AllGestureWiimoteX,0.584572,0.0484170455108529,0.58422,0.045855143659135976
AllGestureWiimoteY,0.553428,0.02001180891373894,0.55094,0.02066724655100434
AllGestureWiimoteZ,0.556284,0.023254991378196626,0.557798,0.021432412276736375
ArrowHead,0.821716,0.02689979598435646,0.819708,0.026574474519734166
BME,0.869334,0.028159008931423715,0.869642,0.026939223745312345
Beef,0.6600019999999999,0.0326602715236723,0.6519440000000001,0.02792693151780194
BeetleFly,0.82,0.06000000000000001,0.817248,0.060150752746744585
BirdChicken,0.9200000000000002,0.05999999999999996,0.91823,0.06328000000000002
CBF,0.965558,0.00950641131026847,0.9656600000000001,0.009462500726552123
Car,0.793334,0.013332000000000033,0.8027620000000001,0.016590227725983772
Chinatown,0.9778439999999999,0.002973513746395001,0.972834,0.0035657964047320456
ChlorineConcentration,0.54969,0.00892685386908512,0.387304,0.01725356728331854
CinCECGTorso,0.6514500000000001,0.008863301867814288,0.6550420000000001,0.007600253679976744
Coffee,0.92857,0.0,0.92857,0.0
Computers,0.7776000000000002,0.015512575543732266,0.77607,0.015896495211209286
CricketX,0.6143620000000001,0.019365657644397207,0.6119199999999999,0.018764919397641966
CricketY,0.6312819999999999,0.00817248652492008,0.636196,0.010018328403481295
CricketZ,0.638462,0.031110559879243563,0.623182,0.03125270829864188
Crop,0.49467800000000006,0.015092006360984601,0.49444,0.012677818424318919
DiatomSizeReduction,0.866666,0.020291062663152965,0.847306,0.051827949448150105
DistalPhalanxOutlineAgeGroup,0.7424459999999999,0.008392112010691948,0.7507699999999999,0.007927731075156366
DistalPhalanxOutlineCorrect,0.7615959999999999,0.020289071541103123,0.741644,0.022297316071671073
DistalPhalanxTW,0.680576,0.012543534749025111,0.459836,0.03364365116927707
DodgerLoopDay,0.49000000000000005,0.020000000000000004,0.464926,0.02345648362393649
DodgerLoopGame,0.839132,0.022640249468590203,0.8382480000000001,0.023274036521411558
DodgerLoopWeekend,0.97826,0.0,0.9725400000000001,1.1102230246251565e-16
ECG200,0.882,0.019390719429665332,0.8709979999999999,0.022143334346931595
ECG5000,0.9372,0.0011739165217339743,0.5446099999999999,0.0173682929500858
ECGFiveDays,0.9600459999999998,0.012627611967430724,0.9600240000000001,0.01264832573900593
EOGHorizontalSignal,0.5165740000000001,0.014084669112194307,0.50279,0.014486385332442323
EOGVerticalSignal,0.425966,0.014555335241759277,0.39373,0.01721025392026508
Earthquakes,0.7553979999999999,0.004550518212247923,0.46208600000000005,0.02071624155101499
ElectricDevices,0.6419919999999999,0.019267968652662913,0.558204,0.019104991599056004
EthanolLevel,0.44480000000000003,0.07659347230671815,0.426918,0.09024381538919994
FaceAll,0.685326,0.010635349735669273,0.7156140000000001,0.014289697827455957
FaceFour,0.7795440000000001,0.02550990756549306,0.7820859999999998,0.023643160194863965
FacesUCR,0.779904,0.010746494498207321,0.7663019999999999,0.01023401465701511
FiftyWords,0.714726,0.00815291260838726,0.571302,0.01724591012385252
Fish,0.8891439999999999,0.03401721540632037,0.8864820000000002,0.035254881874713456
FordA,0.933938,0.003991743478732058,0.933876,0.003998882843995295
FordB,0.793334,0.00452518552105875,0.793118,0.004417177379277398
FreezerRegularTrain,0.9851219999999999,0.002414285815722711,0.98512,0.0024167829857064034
FreezerSmallTrain,0.7944579999999999,0.012915817279599477,0.7939440000000001,0.013019537011737421
Fungi,0.03763,0.0,0.00403,0.0
GestureMidAirD1,0.573848,0.018588524847335246,0.5615479999999999,0.02540915378362688
GestureMidAirD2,0.5815379999999999,0.03137691469854868,0.5442499999999999,0.04207928231327145
GestureMidAirD3,0.30154000000000003,0.03205206576805931,0.27432399999999996,0.030855680579108938
GesturePebbleZ1,0.881396,0.01304965378851102,0.8746539999999999,0.015302458103193752
GesturePebbleZ2,0.8443059999999999,0.045040970948681834,0.834742,0.049645402365173785
GunPoint,0.9800000000000001,0.004218478398664623,0.979992,0.004215316832694771
GunPointAgeSpan,0.974048,0.0012639999999999763,0.9740360000000001,0.0012680000000000024
GunPointMaleVersusFemale,0.993038,0.0012640000000000205,0.993018,0.0012690059101517195
GunPointOldVersusYoung,0.9758720000000001,0.001557875476410082,0.9758020000000001,0.0015579268275499785
Ham,0.7409519999999999,0.022047822931074167,0.7392520000000001,0.02236263794814914
HandOutlines,0.910812,0.008714680487545139,0.9022219999999999,0.00922993261080492
Haptics,0.44156199999999995,0.010060074353601954,0.410984,0.008992282468872966
Herring,0.6718740000000001,0.027949731733954077,0.606848,0.03900414767688177
HouseTwenty,0.914284,0.009800115509523324,0.9102140000000001,0.010474770832815382
InlineSkate,0.30727000000000004,0.011384141601368103,0.30941399999999997,0.00996165167028038
InsectEPGRegularTrain,0.8064260000000001,0.024938394976421384,0.73769,0.042844881607958726
InsectEPGSmallTrain,0.730924,0.018137392976941304,0.667318,0.02194294638374712
InsectWingbeatSound,0.607476,0.008757000856457642,0.593476,0.009531899286081419
ItalyPowerDemand,0.9517979999999999,0.0033987609506994985,0.95178,0.003407679562400204
LargeKitchenAppliances,0.8256,0.006442912384938979,0.824476,0.006694913292941155
Lightning2,0.7606580000000001,0.024537789142463497,0.75442,0.023882136420345677
Lightning7,0.772602,0.023884013398087028,0.7466440000000001,0.023705447981424037
Mallat,0.806824,0.06542111940344646,0.7821359999999999,0.0842538256935553
Meat,0.8633320000000001,0.03231979108843371,0.858932,0.0354097418234022
MedicalImages,0.638158,0.015436941925135287,0.5656460000000001,0.025680595475961996
MelbournePedestrian,0.7544919999999999,0.00957470709734769,0.749128,0.009787490791821996
MiddlePhalanxOutlineAgeGroup,0.58961,0.03839465379450633,0.484554,0.02014212560779025
MiddlePhalanxOutlineCorrect,0.7532639999999999,0.013982707320115077,0.736394,0.012579064512116954
MiddlePhalanxTW,0.5623400000000001,0.008808182559415961,0.40068400000000004,0.017914630445532494
MixedShapesRegularTrain,0.9022680000000001,0.012501371764730467,0.8993260000000001,0.012662522023672863
