Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
ACSF1,0.78,0.026076809620810583,0.776988,0.02760053651652446
Adiac,0.700256,0.004689066431604472,0.670984,0.004519781410643669
AllGestureWiimoteX,0.611716,0.004641411854166805,0.612144,0.005255669700428265
AllGestureWiimoteY,0.5745699999999999,0.012267994131071297,0.571312,0.011173707352530792
AllGestureWiimoteZ,0.57143,0.012999906153507426,0.5715600000000001,0.013494169111138356
ArrowHead,0.842286,0.01999261923810883,0.8409279999999999,0.021034755430002026
BME,0.898668,0.019503253472177396,0.899986,0.019409317968439786
Beef,0.686666,0.03399320202628757,0.667708,0.04283071019724049
CBF,0.972668,0.008093912280226424,0.9726899999999998,0.00810809225403854
Car,0.846668,0.019437306809329338,0.8505800000000001,0.01587667471481356
ChlorineConcentration,0.563022,0.0067050947793450095,0.41909799999999997,0.03343553463009079
CinCECGTorso,0.6852179999999999,0.013617878542563093,0.687564,0.013776078687347863
CricketX,0.68872,0.00867218772859536,0.681006,0.01014735157565756
CricketY,0.6887179999999999,0.010077222633245711,0.6917099999999999,0.009150678663356032
CricketZ,0.707178,0.012395798320398737,0.696224,0.012161818285108495
Crop,0.5789160000000001,0.00437920358056122,0.569538,0.005066416485051326
DiatomSizeReduction,0.867318,0.009825789332160537,0.8585280000000001,0.017456661078224533
DistalPhalanxOutlineAgeGroup,0.733814,0.014390000138985375,0.7385900000000001,0.019459801643387856
DistalPhalanxTW,0.6776960000000001,0.02105061861323794,0.519536,0.041563611296421304
DodgerLoopDay,0.5349999999999999,0.028939592256975556,0.515538,0.031479359205676356
ECG5000,0.9403560000000001,0.0011907409457980168,0.584576,0.006684880253228194
EOGHorizontalSignal,0.54254,0.010570209080240566,0.531898,0.00768439821976972
EOGVerticalSignal,0.44695999999999997,0.016333659724629992,0.394494,0.022947062208483242
ElectricDevices,0.704346,0.003899962051097402,0.638584,0.006685227296061078
EthanolLevel,0.5244,0.013047605144240082,0.5044740000000001,0.02525726240113922
FaceAll,0.770532,0.00492702912514225,0.814894,0.004161617954594109
FaceFour,0.84091,0.010160692889759028,0.8418379999999999,0.00932044934539102
FacesUCR,0.8650739999999999,0.012224752921838547,0.8440259999999998,0.01264272533910313
FiftyWords,0.772306,0.008636892033596334,0.653196,0.016195179035750105
Fish,0.921142,0.012727550274895812,0.917736,0.013810912497007565
Fungi,0.03763,0.0,0.00403,0.0
GestureMidAirD1,0.610768,0.007845430262260963,0.603194,0.005102601689334563
GestureMidAirD2,0.581538,0.006156500304556161,0.554378,0.007511392414193267
