Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
ACSF1,0.884,0.008000000000000007,0.8813639999999999,0.008307999999999982
Adiac,0.78312,0.00712429926378728,0.758294,0.007573249236622312
AllGestureWiimoteX,0.670858,0.004914718303219419,0.6642999999999999,0.005388328126608449
AllGestureWiimoteY,0.663428,0.0054666933332682835,0.652456,0.00484205163128192
AllGestureWiimoteZ,0.6317159999999999,0.0018971093800833015,0.629592,0.0019230954214494974
ArrowHead,0.906286,0.005828964230461529,0.908372,0.005785258507620878
BME,0.9573320000000001,0.0032676193168727366,0.9578599999999999,0.0031598417681902784
Beef,0.726666,0.024945095389675313,0.718512,0.03063571340772074
CBF,0.9924419999999999,0.0012944713206556415,0.99246,0.0012982603745011994
Car,0.9,0.010543033719001388,0.894404,0.013174814761506146
ChlorineConcentration,0.68052,0.007719769426608542,0.6291399999999999,0.013459502219621639
CinCECGTorso,0.8127519999999999,0.004411532160145729,0.8127219999999999,0.004530339501626785
CricketX,0.758462,0.008173365035283795,0.7537480000000001,0.007759910824229874
CricketY,0.7323080000000001,0.002613445235699415,0.734612,0.003317236199006617
CricketZ,0.763586,0.0046999770212204015,0.7447480000000001,0.00562992504390601
Crop,0.6807620000000001,0.000882233529174661,0.663776,0.001163212792226781
DiatomSizeReduction,0.9444419999999999,0.0035784544149674562,0.936886,0.005016407479461753
DistalPhalanxOutlineAgeGroup,0.6820120000000001,0.01151275014929101,0.6740740000000001,0.011355725604293192
DistalPhalanxTW,0.660432,0.0146706637886634,0.49721600000000005,0.017054819377524927
DodgerLoopDay,0.65,0.007905694150420955,0.634092,0.008026155742321489
ECG5000,0.939198,0.0007237513385134463,0.611592,0.007627265302846099
EOGHorizontalSignal,0.5685100000000001,0.014867369639583204,0.554632,0.014504204080196885
EOGVerticalSignal,0.46464,0.0040593497016147735,0.414844,0.006070079406399881
ElectricDevices,0.763846,0.008145247939749911,0.6840660000000002,0.013118875866475765
EthanolLevel,0.5715999999999999,0.011128342194594822,0.5286139999999999,0.01724319761529167
FaceAll,0.7885200000000001,0.002134535078184488,0.834196,0.004064862113282577
FaceFour,0.9749979999999999,0.00454399999999997,0.9769840000000001,0.0037120000000000265
FacesUCR,0.930442,0.0010954159027510963,0.9179780000000001,0.0014326116012374158
FiftyWords,0.7942859999999999,0.007689311022451885,0.676926,0.010715591630889986
Fish,0.937142,0.003614484195566515,0.9325300000000001,0.003823956066693258
Fungi,0.03763,0.0,0.00403,0.0
GestureMidAirD1,0.6446160000000001,0.008972120373690934,0.6297180000000001,0.012016724012808162
GestureMidAirD2,0.624614,0.008972120373690938,0.617398,0.009943985921148524
GestureMidAirD3,0.303076,0.003767315224400543,0.268264,0.008702060905325808
GesturePebbleZ1,0.88953,0.0,0.8812999999999999,1.1102230246251565e-16
GesturePebbleZ2,0.8493660000000001,0.008397693969179882,0.8486119999999999,0.00823021360597649
Haptics,0.5,0.008948749633328671,0.47573999999999994,0.008893815828990383
InlineSkate,0.40363800000000005,0.006401497949698953,0.40332799999999996,0.006075048641780562
InsectEPGRegularTrain,0.8008019999999998,0.006524588569404196,0.782788,0.007184233849200593
InsectEPGSmallTrain,0.736546,0.014503527295109972,0.6869339999999999,0.019760605861157205
InsectWingbeatSound,0.631718,0.005875285184567646,0.617532,0.005434656934894793
LargeKitchenAppliances,0.8117339999999998,0.01323733447488576,0.8109460000000001,0.013563652310495129
Lightning7,0.734248,0.010956500171131305,0.7301960000000001,0.011148905955294436
Mallat,0.941578,0.0019629304623445,0.9413079999999999,0.002022616127692038
Meat,0.96667,0.0,0.9665800000000001,1.1102230246251565e-16
MedicalImages,0.7228960000000001,0.007139066045359141,0.664456,0.006810244048490491
MelbournePedestrian,0.86388,0.004438616901693594,0.861004,0.0047154240530412565
MiddlePhalanxOutlineAgeGroup,0.537662,0.01117163085677289,0.469482,0.011628145853918418
MiddlePhalanxTW,0.507792,0.011170003401969053,0.359856,0.00848681000140806
MixedShapesRegularTrain,0.9571120000000001,0.0009019179563574403,0.9565579999999999,0.0010938628798894143
MixedShapesSmallTrain,0.913566,0.0032643198372708745,0.910734,0.0030501645857232136
NonInvasiveFetalECGThorax1,0.901882,0.0016256124999519215,0.89434,0.0013728364797018018
NonInvasiveFetalECGThorax2,0.929668,0.0019397463751738254,0.92402,0.002117706306360699
OSULeaf,0.79091,0.009984237577301523,0.783038,0.010851944341914065
OliveOil,0.86667,0.0,0.79345,0.0
PLAID,0.910988,0.004310876477005587,0.8585939999999999,0.0089066932135333
Phoneme,0.19683799999999999,0.003456677017020827,0.12313,0.002679865668275185
PickupGestureWiimoteZ,0.772,0.009797958971132722,0.7533139999999999,0.009548111017368832
PigAirwayPressure,0.20096000000000003,0.025331500547737005,0.194438,0.024137692847494764
PigArtPressure,0.7211540000000001,0.021717048234048752,0.7075660000000001,0.021855308371194378
PigCVP,0.65577,0.01238658629324484,0.652432,0.013330229405377841
Plane,1.0,0.0,1.0,0.0
ProximalPhalanxOutlineAgeGroup,0.830246,0.0036518576094913633,0.743526,0.007910657621209518
ProximalPhalanxTW,0.8097559999999999,0.00816221685573224,0.5564319999999999,0.02207105199123958
RefrigerationDevices,0.5264,0.011261577154200036,0.5196240000000001,0.011827805544563199
Rock,0.868,0.00979795897113272,0.86739,0.01087251948722099
ScreenType,0.45120200000000005,0.013639081200726096,0.45038599999999995,0.0142490162467449
SemgHandMovementCh2,0.55111,0.005795187658738936,0.5503680000000001,0.0058310252957777566
SemgHandSubjectCh2,0.855556,0.005792887362965017,0.854528,0.0060351782078079475
ShakeGestureWiimoteZ,0.8560000000000001,0.008000000000000007,0.831442,0.015896
ShapesAll,0.849668,0.0024505787071628826,0.838448,0.00282054179192581
SmallKitchenAppliances,0.819202,0.0010639999999999983,0.8190860000000001,0.001148383211301884
SmoothSubspace,0.951998,0.012926596458465016,0.9519599999999999,0.012841506142193763
StarLightCurves,0.978946,0.0006051974884283877,0.969218,0.0008790995393014449
SwedishLeaf,0.9507199999999999,0.001197330363767648,0.9511480000000001,0.0012174629357808036
Symbols,0.9618080000000001,0.001680492784869984,0.96198,0.0016895916666461134
SyntheticControl,0.9860000000000001,0.005332500351617449,0.9859579999999999,0.005362336804043549
Trace,1.0,0.0,1.0,0.0
TwoPatterns,0.9976500000000001,0.00040620192023179704,0.9976479999999999,0.00041681650639100744
UMD,0.980558,0.006805907433987064,0.98049,0.00684657870764661
UWaveGestureLibraryAll,0.9637079999999999,0.0006834149544749506,0.9635079999999998,0.0006878488205994453
UWaveGestureLibraryX,0.811556,0.0013323753224973533,0.79269,0.0016810234977536714
UWaveGestureLibraryY,0.734954,0.0021105127339108836,0.725348,0.0021107193086718264
UWaveGestureLibraryZ,0.760694,0.005690323716626301,0.7495379999999999,0.0062327887819177644
WordSynonyms,0.707836,0.0032287496031745953,0.576116,0.005511829460351619
Worms,0.646752,0.009720825890838695,0.64453,0.016507159658766264
